page,sentenceNumber,sentenceSecond,surveyNumber,surveySecond
1,2,15.01081,5,6.012101
2,3,15.0122,1,6.011786
3,3,15.01472,1,6.013875
4,1,15.00974,2,6.008578
5,2,15.0143,4,6.013836
6,1,15.01352,4,6.011381
7,1,18.01417,3,6.013224
8,1,19.00956,3,6.007533
9,2,19.01216,3,6.011259
10,1,17.01169,3,6.007406
11,2,16.00846,1,6.007176
12,1,18.00942,4,6.010149
13,3,16.01242,5,6.010508
14,1,17.0075,4,6.01323
15,2,17.0123,5,6.01444
16,1,16.00796,1,6.010285
17,3,18.00863,3,6.01089
18,2,15.00862,5,6.011667
19,4,15.01331,3,6.009405
20,3,16.00844,3,6.009421
21,1,18.01125,1,6.009347
22,3,15.01141,4,6.015447
23,2,16.0134,1,6.012229
24,3,18.00897,1,6.006735
25,4,19.01011,4,6.009168
26,1,15.01072,4,6.01252
27,2,17.01157,4,6.00951
28,2,16.01133,2,6.011523
29,4,17.01332,3,6.008646
30,2,15.01063,2,6.013412
